Protein accession number	Protein Name	location		
YEL051W	"VMA8  Subunit D of the eight-subunit V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase), an electrogenic proton pump found throughout the endomembrane system; plays a role in the coupling of proton transport and ATP hydrolysis"	cytoplasm		
YOR270C	"VPH1  Subunit of vacuolar-ATPase V0 domain, one of two isoforms (Vph1p and Stv1p); Vph1p is located in V-ATPase complexes of the vacuole while Stv1p is located in V-ATPase complexes of the Golgi and endosomes"	cytoplasm		
YHR012W	VPS29 (PEP11) Endosomal protein that is a subunit of the membrane-associated retromer complex essential for endosome-to-Golgi retrograde transport; forms a subcomplex with Vps35p and Vps26p that selects cargo proteins for endosome-to-Golgi retrieval	cytoplasm		
YLR337C	"VRP1 (YLR337W,MDP2,END5) Proline-rich, actin-associated protein involved in cytoskeletal organization and cytokinesis; related to mammalian Wiskott-Aldrich syndrome protein (WASP)-interacting protein (WIP)"	cytoplasm		
YNL197C	WHI3  RNA binding protein that binds to and sequesters the G1 cyclin CLN3 mRNA; regulates cell fate and dose-dependently inhibits passage through Start by regulating the critical cell size requirement necessary for cell cycle progression	cytoplasm		
YPL239W	"YAR1  Cytoplasmic ankyrin-repeat containing protein of unknown function, proposed to link the processes of 40S ribosomal subunit biogenesis and adaptation to osmotic and oxidative stress; expression repressed by heat shock"	cytoplasm		
YNL064C	"YDJ1 (HSP40,MAS5) Protein chaperone involved in regulation of the HSP90 and HSP70 functions; involved in protein translocation across membranes; member of the DnaJ family"	cytoplasm		
YGR234W	"YHB1 (YHB4) Nitric oxide oxidoreductase, flavohemoglobin involved in nitric oxide detoxification; plays a role in the oxidative and nitrosative stress responses"	cytoplasm		
YLR200W	"YKE2 (PFD6,GIM1) Subunit of the heterohexameric Gim/prefoldin protein complex involved in the folding of alpha-tubulin, beta-tubulin, and actin"	cytoplasm		
YKL196C	"YKT6  Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus"	cytoplasm		
YKR014C	"YPT52  GTPase, similar to Ypt51p and Ypt53p and to mammalian rab5; required for vacuolar protein sorting and endocytosis"	cytoplasm		
YNL241C	"ZWF1 (POS10,MET19) Glucose-6-phosphate dehydrogenase (G6PD), catalyzes the first step of the pentose phosphate pathway; involved in adapting to oxidatve stress; homolog of the human G6PD which is deficient in patients with hemolytic anemia"	cytoplasm		
YCR002C	"CDC10  Component of the septin ring of the mother-bud neck that is required for cytokinesis; septins recruit proteins to the neck and can act as a barrier to diffusion at the membrane, and they comprise the 10nm filaments seen with EM"	cytoplasm		
YDR513W	"GRX2 (TTR1) Cytoplasmic glutaredoxin, thioltransferase, glutathione-dependent disulfide oxidoreductase involved in maintaining redox state of target proteins, also exhibits glutathione peroxidase activity, expression induced in response to stress"	cytoplasm		
YPR141C	"KAR3 (OSR11) Minus-end-directed microtubule motor that functions in mitosis and meiosis, localizes to the spindle pole body and localization is dependent on functional Cik1p, required for nuclear fusion during mating; potential Cdc28p substrate"	cytoplasm		
YNL071W	"LAT1 (PDA2,ODP2) Dihydrolipoamide acetyltransferase component (E2) of pyruvate dehydrogenase complex, which catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA"	cytoplasm		
YLR180W	"SAM1 (ETH10) S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)"	cytoplasm		
YDR169C	STB3  Protein that binds Sin3p in a two-hybrid assay	cytoplasm		
YOR086C	"TCB1  Contains three calcium and lipid binding domains; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; C-terminal portion of Tcb1p, Tcb2p and Tcb3p interact"	cytoplasm		
YEL013W	"VAC8 (YEB3) Phosphorylated vacuolar membrane protein that interacts with Atg13p, required for the cytoplasm-to-vacuole targeting (Cvt) pathway; interacts with Nvj1p to form nucleus-vacuole junctions"	cytoplasm		
YDL078C	"MDH3  Cytoplasmic malate dehydrogenase, catalyzes interconversion of malate and oxaloacetate; involved in the glyoxylate cycle"	cytoplasm		
YBR109C	"CMD1  Calmodulin; Ca++ binding protein that regulates Ca++ independent processes (mitosis, bud growth, actin organization, endocytosis, etc.) and Ca++ dependent processes (stress-activated pathways), targets include Nuf1p, Myo2p and calcineurin"	cytoplasm		
YOR373W	"NUD1  Component of the spindle pole body outer plaque, required for exit from mitosis"	cytoplasm		
YPL059W	GRX5  Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; mitochondrial matrix protein involved in the synthesis/assembly of iron-sulfur centers; monothiol glutaredoxin subfamily member along with Grx3p and Grx4p	cytoplasm		
YNL166C	"BNI5  Protein involved in organization of septins at the mother-bud neck, may interact directly with the Cdc11p septin, localizes to bud neck in a septin-dependent manner"	cytoplasm		
YIL108W	  Putative metalloprotease	cytoplasm		
YKR016W	"  The authentic, non-tagged protein was localized to the mitochondria"	cytoplasm		
YNL231C	"PDR16 (SFH3) Phosphatidylinositol transfer protein (PITP) controlled by the multiple drug resistance regulator Pdr1p, localizes to lipid particles and microsomes, controls levels of various lipids, may regulate lipid synthesis, homologous to Pdr17p"	cytoplasm		
YML072C	"TCB3  Contains three calcium and lipid binding domains; localized to the bud; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery; mRNA is targeted to the bud via the mRNA transport system involving She2p; C-terminal portion of Tcb1p, Tcb2p and Tcb3p interact"	cytoplasm		
YGR193C	"PDX1  Dihydrolipoamide dehydrogenase (E3)-binding protein (E3BP) of the mitochondrial pyruvate dehydrogenase (PDH) complex, plays a structural role in the complex by binding and positioning E3 to the dihydrolipoamide acetyltransferase (E2) core"	cytoplasm		
YPR004C	"  Electron transfer flavoprotein complex subunit ETF-alpha; contains a FAD binding domain; interacts with YFH1, the yeast frataxin homolog"	cytoplasm		
YNL138W	"SRV2 (CAP) CAP (cyclase-associated protein) subunit of adenylyl cyclase complex; N-terminus binds adenylyl cyclase and facilitates activation by RAS; C-terminus binds ADP-actin monomers, facilitating regulation of actin dynamics and cell morphogenesis"	cytoplasm		
YDR068W	"DOS2  Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"	cytoplasm		
YLR380W	CSR1 (SFH2) Phosphatidylinositol transfer protein with a potential role in lipid turnover; interacts specifically with thioredoxin peroxidase (Tsa2p) and may have a role in oxidative stress resistance	cytoplasm		
YGR130C	  Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; specifically phosphorylated in vitro by mammalian diphosphoinositol pentakisphosphate (IP7)	cytoplasm		
YDR150W	"NUM1 (PAC12) Protein required for nuclear migration, localizes to the mother cell cortex and the bud tip; may mediate interactions of dynein and cytoplasmic microtubules with the cell cortex"	cytoplasm		
YMR303C	"ADH1 (ADC1) Alcohol dehydrogenase, fermentative isozyme active as homo- or heterotetramers; required for the reduction of acetaldehyde to ethanol, the last step in the glycolytic pathway"	cytoplasm		
YHR158C	"DED1 (SPP81) ATP-dependent DEAD (Asp-Glu-Ala-Asp)-box RNA helicase, required for translation initiation of all yeast mRNAs; mutations in human DEAD-box DBY are a frequent cause of male infertility"	cytoplasm		
YOR367W	"SCP1  Component of yeast cortical actin cytoskeleton, binds and cross links actin filaments; originally identified by its homology to calponin (contains a calponin-like repeat) but the Scp1p domain structure is more similar to transgelin"	cytoplasm		
YCL005W-A	"VMA9 (LDB10,CWH36) Vacuolar H+ ATPase subunit e of the V0 (membrane) sector, essential for vacuolar acidification"	cytoplasm		
YPR139C	VPS66  Cytoplasmic protein of unknown function involved in vacuolar protein sorting.	cytoplasm		
YML036W	  Hypothetical protein	unknown		
YOR021C	  Hypothetical protein	unknown		
YOR223W	  Hypothetical protein	unknown		
YNR063W	  Hypothetical protein	unknown		
YLR149C	  Hypothetical protein	unknown		
YBR063C	  Hypothetical protein	unknown		
YBL111C	  Hypothetical protein	unknown		
YOL075C	  Hypothetical protein	unknown		
YOR093C	  Hypothetical protein	unknown		
YMR321C	  Hypothetical protein	unknown		
YNL050C	  Hypothetical protein	unknown		
YOL086W-A	  Hypothetical protein identified by homology. See FEBS Letters [2000] 487:31-36.	unknown		
YCL058W-A	  Identified by homology to <i>Ashbya gossypii</i>	unknown		
YMR102C	"  Protein of unknown function, transcription is activated by paralogous transcription factors Yrm1p and Yrr1p along with genes involved in multidrug resistance"	unknown		
YLR407W	  Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery	unknown		
YLR243W	  Protein required for cell viability	unknown		
YOR287C	  Protein required for cell viability	unknown		
YMR087W	  Putative ADP-ribose-1''-monophosphatase that converts ADP-ribose-1''-monophosphate to ADP-ribose; may have a role in tRNA splicing; contains an A1pp domain	unknown		
YFR038W	  Putative ATPase containing the DEAD/H helicase-related sequence motif; YFR038W is not an essential gene	unknown		
YGR272C	  Putative protein of unknown function; deletion mutant has defects in pre-rRNA processing; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus	unknown		
YGL242C	  Putative protein of unknown function; deletion mutant is viable	unknown		
YKL033W-A	  Putative protein of unknown function; similar to uncharacterized proteins from other fungi	unknown		
YKR104W	 (NFT1) ORFs YKR103W and YKR104W are merged in different strain backgrounds	unknown		
YLR359W	"ADE13 (BRA8,BRA1) Adenylosuccinate lyase, catalyzes two steps in the 'de novo' purine nucleotide biosynthetic pathway"	unknown		
YLR397C	"AFG2 (DRG1) ATPase of the CDC48/PAS1/SEC18 (AAA) family, forms a hexameric complex; may be involved in degradation of aberrant mRNAs"	unknown		
YLR370C	"ARC18  Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches"	unknown		
YKL013C	"ARC19  Subunit of the ARP2/3 complex, which is required for the motility and integrity of cortical actin patches"	unknown		
YJR065C	"ARP3 (ACT4) Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity"	unknown		
YPR122W	"AXL1 (STE22,FUS5) Haploid specific endoprotease that performs one of two N-terminal cleavages during maturation of a-factor mating pheromone; required for axial budding pattern of haploid cells"	unknown		
YBR200W	"BEM1 (SRO1) Protein containing SH3-domains, involved in establishing cell polarity and morphogenesis; functions as a scaffold protein for complexes that include Cdc24p, Ste5p, Ste20p, and Rsr1p"	unknown		
YOR198C	BFR1  Component of mRNP complexes associated with polyribosomes; implicated in secretion and nuclear segregation; multicopy suppressor of BFA (Brefeldin A) sensitivity	unknown		
YGR282C	"BGL2  Endo-beta-1,3-glucanase, major protein of the cell wall, involved in cell wall maintenance"	unknown		
YDL132W	"CDC53  Cullin, structural protein of SCF complexes (which also contain Skp1p, Cdc34p, and an F-box protein) involved in ubiquitination; SCF promotes the G1-S transition by targeting G1 cyclins and the Cln-CDK inhibitor Sic1p for degradation"	unknown		
YKL190W	"CNB1 (YCN2,CRV1) Calcineurin B; the regulatory subunit of calcineurin, a Ca++/calmodulin-regulated protein phosphatase which regulates Crz1p (a stress-response transcription factor), the other calcineurin subunit is encoded by CNA1 and/or CMP1"	unknown		
YHR057C	"CPR2 (CYP2) Peptidyl-prolyl cis-trans isomerase (cyclophilin), catalyzes the cis-trans isomerization of peptide bonds N-terminal to proline residues; has a potential role in the secretory pathway"	unknown		
YGR189C	"CRH1  Putative glycosidase of the cell wall, may have a role in cell wall architecture"	unknown		
YHR191C	CTF8  Subunit of a complex with Ctf18p that shares some subunits with Replication Factor C and is required for sister chromatid cohesion	unknown		
YBR233W-A	"DAD3  Essential subunit of the DASH microtubule ring complex, couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis"	unknown		
YCL016C	"DCC1  Subunit of a complex with Ctf8p and Ctf18p that shares some components with Replication Factor C, required for sister chromatid cohesion and telomere length maintenance"	unknown		
YKR054C	"DYN1 (PAC6,DHC1) Cytoplasmic heavy chain dynein, microtubule motor protein, required for anaphase spindle elongation; involved in spindle assembly, chromosome movement, and spindle orientation during cell division, targeted to microtubule tips by Pac1p"	unknown		
YKL204W	"EAP1  eIF4E-associated protein, binds eIF4E and inhibits cap-dependent translation, also functions independently of eIF4E to maintain genetic stability; plays a role in cell growth, implicated in the TOR signaling cascade"	unknown		
YHR128W	"FUR1  Uracil phosphoribosyltransferase, synthesizes UMP from uracil; involved in the pyrimidine salvage pathway"	unknown		
